rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
147,Matt Waldron,SDP,3.2,15.0,86.54666341145834,103.2,104.3,23.333333333333332,1.0,0.06666667,6.0,0.4,14.727275280913489,4.7766848430783515
148,Tomoyuki Sugano,COL,20.2,66.0,91.24242424242425,106.4,107.9,13.166666666666666,13.0,0.1969697,32.0,0.48484848,3.919354959283489,7.705125072544393
149,Shane Drohan,MIL,2.2,9.0,89.61250305175781,98.6,98.6,10.5,0.0,0.0,3.0,0.33333333,10.125002413988689,6.114416113218709
150,Shane Smith,CHW,8.1,28.0,82.18888685438368,104.8,109.9,14.148148148148149,0.0,0.0,9.0,0.32142857,10.80000164794947,4.474409318987835
151,Luis Severino,ATH,24.2,62.0,89.60491743244108,104.2,113.6,12.475409836065573,7.0,0.11290323,29.0,0.46774194,6.2027028625772545,5.854466541387274
152,Simeon Woods Richardson,MIN,25.2,91.0,89.89444444444445,105.3,112.6,21.122222222222224,7.0,0.07692308,37.0,0.40659341,5.961039108698439,4.716016147598504
153,Noah Cameron,KCR,20.0,66.0,90.7227265329072,105.1,112.1,16.484848484848484,10.0,0.15151515,32.0,0.48484848,5.400000257492078,6.933500993316717
154,PJ Poulin,WSN,2.2,9.0,89.91111077202692,109.2,109.2,2.0,1.0,0.11111111,4.0,0.44444444,3.3750008801000626,4.612243656262657
155,Kodai Senga,NYM,17.1,50.0,89.37347287547831,102.6,107.9,19.877551020408163,5.0,0.1,21.0,0.42,8.826923724462342,3.940932006368831
156,Andre Pallante,STL,20.0,66.0,89.32575757575758,108.7,117.8,3.4242424242424243,6.0,0.09090909,29.0,0.43939394,4.05,5.394604478603174
157,Chris Bassitt,BAL,16.0,62.0,86.61967093045594,101.9,111.8,7.901639344262295,1.0,0.01612903,19.0,0.30645161,6.187500368803762,5.683276854822976
158,Javier Assad,CHC,15.2,52.0,90.33921664368873,103.6,111.5,9.549019607843137,3.0,0.05769231,26.0,0.5,5.744681433888845,4.35201738392794
